anime_id,title,genre,Score
1,Cowboy Bebop,"Action, Award Winning, Sci-Fi",8.78
5,Cowboy Bebop: Tengoku no Tobira,"Action, Sci-Fi",8.39
6,Trigun,"Action, Adventure, Sci-Fi",8.24
7,Witch Hunter Robin,"Action, Drama, Mystery, Supernatural",7.27
8,Bouken Ou Beet,"Action, Adventure, Fantasy",6.98
15,Eyeshield 21,Sports,7.95
16,Hachimitsu to Clover,"Comedy, Drama, Romance",8.06
17,Hungry Heart: Wild Striker,Sports,7.59
18,Initial D Fourth Stage,"Action, Drama",8.15
19,Monster,"Drama, Mystery, Suspense",8.76
20,Naruto,"Action, Adventure, Fantasy",7.91
21,One Piece,"Action, Adventure, Fantasy",8.52
22,Tennis no Oujisama,,7.9
23,Ring ni Kakero 1,Sports,6.38
24,School Rumble,"Comedy, Romance",7.94
25,Sunabouzu,"Action, Adventure, Comedy, Sci-Fi, Ecchi",7.42
26,Texhnolyze,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense",7.76
27,Trinity Blood,"Action, Fantasy, Sci-Fi",7.32
28,Yakitate!! Japan,"Comedy, Gourmet",7.95
29,Zipang,"Action, Drama, Sci-Fi",7.51
30,Shinseiki Evangelion,"Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",8.32
31,Shinseiki Evangelion Movie: Shi to Shinsei,"Drama, Sci-Fi, Suspense",7.45
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","Avant Garde, Drama, Sci-Fi, Suspense",8.51
33,Kenpuu Denki Berserk,"Action, Adventure, Drama, Fantasy, Horror",8.49
43,Koukaku Kidoutai,"Award Winning, Mystery, Sci-Fi, Suspense",8.29
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Romance",8.73
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Comedy, Romance",8.31
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Drama,7.56
47,Akira,"Action, Horror, Sci-Fi",8.17
48,.hack//Sign,"Adventure, Fantasy, Mystery",6.98
49,Aa! Megami-sama!,"Comedy, Romance, Supernatural",7.32
50,Aa! Megami-sama! (TV),"Comedy, Romance, Supernatural",7.35
